,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,index,pH,residual sugar,sulphates,total sulfur dioxide,type,volatile acidity,quality
1176,12.8,0.027,0.18,0.99018,6.3,23.0,3614,3.34,3.5,0.54,109.0,white,0.41,8
1177,9.9,0.057,0.24,0.9949,7.3,41.0,3949,3.2,6.8,0.41,163.0,white,0.41,6
1178,9.4,0.088,0.26,0.99694,8.8,16.0,4529,3.32,1.6,0.47,23.0,red,0.685,5
1179,9.5,0.079,0.24,0.99764,8.2,16.0,2068,3.34,2.0,0.64,86.0,red,0.51,6
1180,12.3,0.034,0.3,0.9912,7.1,30.0,2947,3.08,3.3,0.31,102.0,white,0.33,7
1181,12.5,0.038,0.28,0.9915,6.8,26.0,3126,3.24,7.8,0.34,89.0,white,0.27,6
1182,10.7,0.0279999999999999,0.49,0.9962,7.1,40.0,5220,3.22,8.7,0.36,184.0,white,0.85,5
1183,11.3,0.062,0.32,0.9947,7.2,15.0,4861,3.23,2.0,0.73,28.0,red,0.37,7
1184,9.1,0.046,0.29,0.99834,6.6,39.0,985,3.05,14.4,0.5,118.0,white,0.22,6
1185,11.4,0.0579999999999999,0.42,0.99392,9.1,9.0,5231,3.18,1.8,0.55,18.0,red,0.34,5
1186,9.5,0.047,0.3,0.9966,7.3,42.0,3080,3.33,8.2,0.46,207.0,white,0.22,6
1187,9.6,0.074,0.09,0.99534,6.8,4.0,2488,3.38,1.8,0.45,25.0,red,0.83,5
1188,9.0,0.05,0.44,0.99679,7.4,40.0,3421,3.12,7.6,0.52,227.0,white,0.33,5
1189,10.0,0.048,0.23,0.99382,6.3,44.0,1623,3.08,5.7,0.54,147.0,white,0.17,5
1190,10.3,0.054,0.3,0.9941,7.4,44.0,5475,3.12,5.3,0.48,161.0,white,0.28,6
1191,8.8,0.053,0.28,1.0103,7.9,35.0,4189,3.15,31.6,0.38,176.0,white,0.33,6
1192,9.5,0.062,0.38,0.9968,7.4,9.0,3480,3.41,1.7,0.53,30.0,red,0.29,6
1193,11.2,0.047,0.18,0.99164,6.8,30.0,4977,3.27,1.4,0.54,90.0,white,0.14,6
1194,11.6,0.093,0.57,0.9971,9.9,30.0,1047,3.19,2.4,0.76,52.0,red,0.53,7
1195,10.55,0.05,0.06,0.99236,6.0,38.0,735,3.3,1.8,0.5,89.0,red,0.54,6
1196,10.4,0.046,0.33,0.9971,6.3,68.0,5330,3.36,13.9,0.5,179.0,white,0.21,6
1197,9.8,0.038,0.33,0.99164,5.5,23.0,105,3.25,1.0,0.45,131.0,white,0.12,5
1198,10.7,0.049,0.32,0.99332,6.8,37.0,3896,3.12,7.6,0.44,107.0,white,0.19,7
1199,8.7,0.044,0.63,0.9974,7.2,55.0,5362,3.09,11.0,0.44,156.0,white,0.39,6
1200,9.2,0.0559999999999999,0.28,0.9983,7.6,68.0,359,2.99,12.0,0.3,143.0,white,0.22,6
1201,9.7,0.079,0.5,0.9997,9.6,28.0,402,3.5,2.3,0.57,71.0,red,0.6,5
1202,8.9,0.0559999999999999,0.3,0.999,7.6,53.0,3370,3.14,14.2,0.46,212.5,white,0.2,8
1203,12.0,0.057,0.37,0.99408,8.2,43.0,2234,3.23,1.9,0.81,74.0,red,0.34,6
1204,10.8,0.045,0.4,0.9914,7.2,31.0,2063,2.88,1.4,0.38,106.0,white,0.24,6
1205,12.9,0.038,0.29,0.989,6.5,73.0,2514,3.12,1.95,0.25,166.0,white,0.115,7
1206,9.6,0.042,0.17,0.99304,7.1,21.0,2654,3.13,1.0,0.4,144.0,white,0.31,5
1207,11.5,0.031,0.27,0.99089,6.9,20.0,3921,3.12,4.2,0.39,80.0,white,0.26,6
1208,10.4,0.048,0.22,0.9945,7.0,38.0,4757,3.34,5.1,0.49,168.0,white,0.21,6
1209,9.5,0.075,0.29,0.99718,7.6,19.0,4012,3.4,2.1,0.64,66.0,red,0.43,5
1210,11.2,0.062,0.1,0.99512,5.9,39.0,5355,3.52,2.2,0.76,51.0,red,0.55,6
1211,9.9,0.0409999999999999,0.26,0.9926,7.1,20.0,4096,3.04,1.3,0.74,71.0,white,0.18,6
1212,9.4,0.03,0.27,0.9954,5.0,34.0,3934,3.07,11.75,0.5,118.0,white,0.235,6
1213,9.1,0.047,0.53,0.9984,7.3,60.5,742,3.06,12.7,0.45,164.5,white,0.26,6
1214,10.2,0.042,0.34,0.9934,8.3,7.0,3465,3.47,1.1,0.4,47.0,white,0.14,6
1215,9.4,0.07,0.26,0.9981,7.3,35.0,5487,3.37,7.2,0.49,121.0,red,0.59,5
1216,10.0,0.046,0.38,0.99232,5.9,24.0,527,3.2,1.3,0.47,90.0,white,0.22,6
1217,10.6,0.051,0.26,0.9946,7.0,25.0,4894,3.36,1.7,0.6,161.0,white,0.61,4
1218,9.5,0.136,0.29,0.99336,6.6,15.0,4454,3.18,2.4,0.6,93.0,white,0.38,5
1219,11.5,0.04,0.32,0.9916,7.5,51.0,281,3.21,1.7,0.44,148.0,white,0.17,7
1220,10.8,0.048,0.29,0.99482,6.3,49.0,4814,3.22,11.7,0.38,147.0,white,0.21,5
1221,10.0,0.083,0.24,0.9959,6.9,30.0,4127,3.26,2.5,0.58,45.0,red,0.4,5
1222,9.1,0.053,0.26,0.9943,5.8,17.0,4318,3.24,4.5,0.46,126.0,white,0.555,5
1223,11.3,0.031,0.31,0.99035,6.2,22.0,4691,3.24,1.0,0.52,73.0,white,0.2,6
1224,12.2,0.0579999999999999,0.41,0.99414,9.0,15.0,5251,3.22,2.0,0.6,40.0,red,0.4,6
1225,10.2,0.064,0.39,0.9984,9.3,12.0,3490,3.26,2.2,0.65,31.0,red,0.41,5
1226,12.0,0.034,0.37,0.98952,6.9,36.0,623,2.93,1.8,0.59,95.0,white,0.16,6
1227,10.7,0.024,0.26,0.9948,6.9,36.0,2011,3.16,5.2,0.72,135.0,white,0.25,7
1228,9.5,0.049,0.47,0.9927,6.1,50.0,1541,3.19,1.4,0.45,187.0,white,0.3,5
1229,10.0,0.062,0.47,0.9983,9.7,13.0,2180,3.27,1.6,0.66,33.0,red,0.31,6
1230,10.8,0.043,0.33,0.9925,6.9,63.0,1400,3.44,1.6,0.52,149.0,white,0.19,5
1231,9.9,0.0279999999999999,0.0,0.9939,4.8,33.0,3173,3.36,6.5,0.61,163.0,white,0.34,6
1232,9.4,0.048,0.41,0.99863,7.3,73.0,1398,3.16,14.6,0.71,223.0,white,0.23,6
1233,10.2,0.053,0.39,0.9988,6.8,71.0,2248,3.18,16.1,0.64,194.0,white,0.23,6
1234,9.1,0.07,0.2,0.9971,7.2,21.0,1645,3.03,9.9,0.54,174.0,white,0.6,5
1235,9.6,0.051,0.49,0.9928,6.1,18.0,3397,3.3,1.5,0.46,87.0,white,0.22,5
1236,9.5,0.0579999999999999,0.46,0.996,9.2,39.0,392,3.14,3.2,0.58,133.0,white,0.28,5
1237,9.3,0.073,0.11,0.9955,6.5,13.0,5221,3.34,1.8,0.52,38.0,red,0.52,5
1238,11.4,0.044,0.36,0.9914,6.3,47.0,5127,3.27,2.1,0.74,146.0,white,0.12,7
1239,9.1,0.08,0.2,0.9972,8.3,27.0,2338,3.16,1.5,1.12,119.0,red,0.625,4
1240,8.9,0.053,0.31,0.998,7.8,46.0,2339,3.06,12.2,0.53,140.0,white,0.18,6
1241,9.8,0.036,0.16,0.9942,6.0,36.0,3887,3.17,6.3,0.62,191.0,white,0.36,5
1242,12.8,0.078,0.69,0.9958,11.9,12.0,4141,3.0,2.3,0.65,24.0,red,0.37,6
1243,10.1,0.024,0.31,0.993,8.5,13.0,4408,2.79,1.0,0.37,91.0,white,0.17,5
1244,12.1,0.032,0.33,0.99258,6.0,22.0,4393,3.1,9.9,0.43,90.0,white,0.32,7
1245,12.9,0.035,0.3,0.989,5.8,26.0,4721,3.32,2.2,0.47,129.0,white,0.42,6
1246,10.1,0.05,0.28,0.99655,6.9,47.0,1013,3.34,13.3,0.42,132.0,white,0.13,6
1247,9.6,0.037,0.3,0.997,7.3,18.0,3672,3.4,10.9,0.5,112.0,white,0.21,6
1248,12.7,0.03,0.26,0.99045,6.7,15.0,5006,3.15,5.4,0.38,94.0,white,0.24,6
1249,9.1,0.07,0.41,1.00118,6.1,67.0,107,3.39,19.35,0.53,207.0,white,0.36,5
1250,9.0,0.051,0.42,0.9932,5.7,61.0,2316,3.02,1.1,0.4,197.0,white,0.45,5
1251,8.7,0.043,0.56,0.9975,6.9,40.0,713,3.14,11.2,0.46,142.0,white,0.4,5
1252,11.0,0.046,0.34,0.99299,6.6,30.0,3392,3.22,5.6,0.38,140.0,white,0.21,5
1253,10.3,0.0559999999999999,0.33,0.9938,6.9,35.0,4728,3.63,1.4,0.78,136.0,white,0.21,6
1254,10.8,0.052,0.24,0.99374,6.3,36.0,1931,3.8,1.7,0.66,135.0,white,0.2,6
1255,10.5,0.024,0.3,0.99456,8.4,17.0,136,2.99,8.9,0.34,118.0,white,0.22,6
1256,10.8,0.08,0.1,0.99736,7.4,16.0,3761,3.58,2.4,0.69,33.0,red,0.635,7
1257,10.5,0.079,0.3,0.99788,8.3,7.0,3264,3.36,3.4,0.61,34.0,red,0.43,5
1258,9.3,0.035,0.37,0.99845,6.6,62.0,875,3.02,15.4,0.4,153.0,white,0.22,5
1259,10.2,0.049,0.35,0.9934,6.6,49.0,1683,3.43,1.5,0.85,141.0,white,0.18,7
1260,9.3,0.0579999999999999,0.26,0.9972,7.8,34.0,3258,3.14,9.2,0.55,199.0,white,0.42,6
1261,10.8,0.038,0.29,0.99296,7.3,32.0,1265,3.2,1.5,0.55,144.0,white,0.32,5
1262,11.4,0.081,0.42,0.997,9.6,25.0,1869,3.2,2.4,0.71,52.0,red,0.54,6
1263,9.5,0.073,0.26,0.9956,6.7,36.0,4613,3.3,4.1,0.67,202.0,white,0.26,5
1264,11.0,0.034,0.36,0.9922,6.4,43.0,2040,3.42,1.8,0.69,150.0,white,0.15,8
1265,9.8,0.038,0.33,0.99164,5.5,23.0,1331,3.25,1.0,0.45,131.0,white,0.12,5
1266,9.4,0.083,0.4,0.99782,8.6,16.0,3596,3.3,2.6,0.48,68.0,red,0.33,5
1267,10.5,0.034,0.33,0.99144,6.7,9.0,4298,3.08,3.6,0.4,45.0,white,0.27,6
1268,9.1,0.094,0.49,0.9982,9.1,38.0,939,3.08,2.6,0.59,106.0,red,0.47,5
1269,11.5,0.0409999999999999,0.27,0.99335,7.1,26.0,104,3.04,10.4,0.52,114.0,white,0.27,7
1270,12.4,0.038,0.0,0.99315,5.6,13.0,1136,3.44,10.2,0.46,111.0,white,0.26,6
1271,11.0,0.096,0.02,0.997,7.1,5.0,3670,3.41,4.4,0.57,13.0,red,0.84,4
1272,10.9,0.051,0.27,0.9928,7.8,52.0,4162,3.23,1.9,0.5,195.0,white,0.26,6
1273,11.8,0.045,0.34,0.99035,5.8,96.0,208,3.38,1.8,0.9,170.0,white,0.17,8
1274,9.6,0.043,0.34,0.9962,7.2,37.0,2762,3.09,11.9,0.5,213.0,white,0.21,6
1275,12.0,0.032,0.34,0.99253,6.6,9.0,1085,3.32,4.9,0.81,125.0,white,0.35,5
1276,9.0,0.083,0.43,0.9965,6.5,50.0,5234,2.85,8.9,0.5,171.0,white,0.26,5
1277,11.3,0.026,0.21,0.99089,6.6,48.0,5314,3.22,2.9,0.38,126.0,white,0.26,7
1278,8.7,0.05,0.27,0.9984,7.4,25.0,181,2.9,15.5,0.43,135.0,white,0.16,7
1279,12.1,0.038,0.31,0.99186,8.0,3.0,772,2.9,4.7,0.72,127.0,white,0.37,5
1280,9.6,0.057,0.28,0.9957,7.0,17.0,818,3.5,6.3,0.44,103.0,white,0.12,5
1281,10.8,0.04,0.74,0.9916,7.6,27.0,3851,3.07,1.6,0.4,103.0,white,0.14,7
1282,10.0,0.034,0.32,0.99512,6.7,17.0,1174,3.29,7.9,0.31,81.0,white,0.15,6
1283,12.5,0.034,0.28,0.99151,6.7,29.0,3841,2.96,8.3,0.39,81.0,white,0.36,6
1284,10.4,0.037,0.6,0.99255,6.9,6.0,4183,2.92,4.0,0.59,122.0,white,0.19,4
1285,10.8,0.046,0.59,0.99373,8.7,10.0,2964,3.06,1.7,0.56,70.0,white,0.3,4
1286,11.0,0.045,0.49,0.9954,7.9,48.0,1211,3.04,7.7,0.55,195.0,white,0.28,6
1287,9.2,0.0409999999999999,0.28,0.9954,7.9,44.0,1828,3.45,1.8,0.43,178.0,white,0.14,6
1288,10.0,0.083,0.25,0.99815,8.6,8.0,3948,3.28,2.0,0.6,28.0,red,0.645,6
1289,9.5,0.078,0.03,0.99587,7.2,7.0,2899,3.34,1.8,0.39,12.0,red,0.655,5
1290,9.1,0.048,0.15,0.99571,6.0,101.0,4360,3.05,9.7,0.3,207.0,white,0.23,5
1291,10.7,0.042,0.26,0.9944,7.6,32.0,4267,3.14,6.5,0.47,160.0,white,0.29,5
1292,9.5,0.0819999999999999,0.34,0.998,7.0,16.0,2900,3.55,2.7,0.6,72.0,red,0.45,5
1293,11.6,0.053,0.27,0.99164,7.6,23.0,5461,3.22,1.2,0.38,193.0,white,0.4,5
1294,8.9,0.0579999999999999,0.35,1.00241,7.5,128.0,2604,3.44,17.8,0.43,212.0,white,0.23,5
1295,12.4,0.05,0.33,0.99002,8.0,41.0,4764,3.0,1.2,0.45,103.0,white,0.27,6
1296,9.0,0.062,0.3,0.99808,6.8,19.0,3917,3.0,12.8,0.52,171.0,white,0.18,7
1297,10.4,0.075,0.49,0.9969,12.2,3.0,3043,3.13,1.4,0.63,6.0,red,0.45,5
1298,9.8,0.094,0.08,0.99576,7.3,10.0,2754,3.24,1.7,0.5,45.0,red,0.74,5
1299,11.1,0.037,0.37,0.9948,6.9,16.0,85,3.05,9.1,0.54,76.0,white,0.28,5
1300,10.8,0.05,0.28,0.9918,5.9,20.0,703,3.43,1.9,0.64,78.0,white,0.13,6
1301,11.0,0.037,0.35,0.99388,7.0,31.0,2944,3.13,8.8,0.49,103.0,white,0.2,6
1302,10.5,0.3429999999999999,0.48,0.9979,11.0,6.0,4497,3.3,2.0,0.71,18.0,red,0.2,5
1303,12.7,0.0289999999999999,0.32,0.98916,5.9,41.0,212,3.41,1.6,0.55,102.0,white,0.37,7
1304,13.3,0.055,0.5,0.9952,9.2,12.0,4159,3.34,2.5,0.79,25.0,red,0.41,7
1305,11.2,0.027,0.45,0.992,5.2,21.0,2967,3.55,3.8,0.49,128.0,white,0.24,8
1306,9.8,0.045,0.25,0.99691,6.6,45.0,3343,3.33,11.6,0.43,178.0,white,0.26,6
1307,12.6,0.035,0.34,0.98949,6.7,45.0,266,3.24,1.5,0.36,123.0,white,0.21,7
1308,11.1,0.068,0.09,0.99524,6.8,15.0,5177,3.41,3.9,0.52,29.0,red,0.68,4
1309,10.5,0.046,0.56,0.9923,7.1,25.0,2808,3.24,1.3,0.33,102.0,white,0.36,6
1310,10.8,0.03,0.06,0.9904,6.4,9.0,2198,2.97,1.0,0.29,131.0,white,0.475,5
1311,10.6,0.0289999999999999,0.34,0.99497,9.0,21.0,535,3.08,6.7,0.5,162.0,white,0.26,6
1312,11.5,0.032,0.31,0.99189,8.5,11.0,1035,3.06,2.8,0.44,61.0,white,0.25,6
1313,10.1,0.054,0.26,0.9966,7.2,41.0,42,3.38,7.1,0.55,224.0,white,0.16,5
1314,12.0,0.038,0.35,0.9912,6.8,10.0,3526,3.09,2.8,0.53,164.0,white,0.3,6
1315,9.3,0.045,0.55,0.99482,6.5,75.0,134,2.97,5.9,0.4,162.0,white,0.15,5
1316,9.4,0.042,0.0,0.9937,6.1,24.0,2373,3.31,1.3,0.38,79.0,white,0.6,4
1317,10.3,0.0579999999999999,0.39,0.9955,8.3,16.0,4845,3.28,2.4,0.59,107.0,white,0.27,5
1318,10.5,0.036,0.29,0.9949,5.9,31.0,3739,3.35,11.4,0.48,115.0,white,0.27,8
1319,8.9,0.055,0.38,1.0004,8.4,51.0,5063,3.34,11.8,0.82,170.0,white,0.2,6
1320,10.8,0.0279999999999999,0.49,0.9936,7.3,32.0,2738,3.24,5.0,0.54,107.0,white,0.26,6
1321,9.2,0.045,0.74,0.9956,6.4,52.0,830,3.21,7.8,0.42,209.0,white,0.25,6
1322,9.9,0.147,0.44,0.99836,11.6,36.0,3041,3.38,1.6,0.86,51.0,red,0.47,4
1323,9.8,0.083,0.26,0.99616,7.4,17.0,1147,3.29,2.1,0.56,91.0,red,0.6,6
1324,10.5,0.046,0.19,0.99184,6.1,51.0,5374,3.22,1.4,0.39,131.0,white,0.21,5
1325,11.4,0.04,0.41,0.9907,7.6,38.0,2590,2.92,1.1,0.42,143.0,white,0.19,5
1326,12.7,0.044,0.27,0.9895,6.0,20.0,5104,3.31,2.3,0.41,117.0,white,0.29,7
1327,12.4,0.033,0.38,0.98962,6.1,28.0,75,3.16,2.3,0.49,111.0,white,0.18,6
1328,9.3,0.049,0.45,0.9974,6.2,27.0,995,3.17,12.0,0.5,186.0,white,0.55,6
1329,8.9,0.047,0.24,0.99896,6.0,42.0,4859,3.1,17.8,0.45,111.0,white,0.28,6
1330,9.9,0.0559999999999999,0.4,0.9954,7.5,50.0,5070,3.06,7.1,0.52,110.0,white,0.19,6
1331,9.2,0.034,0.24,0.9933,6.6,17.0,1818,3.13,1.2,0.36,121.0,white,0.3,5
1332,10.1,0.037,0.29,0.9926,7.3,37.0,2079,3.19,1.2,0.7,97.0,white,0.24,6
1333,10.8,0.042,0.45,0.9944,9.8,11.0,4569,2.93,1.6,0.46,124.0,white,0.36,5
1334,11.7,0.036,0.27,0.9939,7.9,20.0,2511,2.96,8.5,0.46,112.0,white,0.3,6
1335,10.5,0.048,0.3,0.9933,7.2,27.0,3410,3.25,1.6,0.45,131.0,white,0.24,5
1336,11.3,0.039,0.28,0.99165,5.9,50.0,1907,3.16,5.1,0.44,139.0,white,0.18,6
1337,10.5,0.04,0.54,0.9938,9.6,16.0,4350,2.94,1.3,0.43,160.0,white,0.25,5
1338,9.2,0.0969999999999999,0.08,0.9959,7.0,22.0,4999,3.34,1.8,0.54,89.0,red,0.69,6
1339,9.4,0.0579999999999999,0.28,0.99856,6.6,25.0,1011,3.45,12.05,0.45,125.0,white,0.22,5
1340,9.3,0.05,0.29,0.9986,7.5,25.0,3457,3.25,12.7,0.59,209.0,white,0.38,6
1341,9.1,0.042,0.41,0.9965,6.4,57.0,3991,3.0,8.6,0.44,173.0,white,0.25,5
1342,11.0,0.044,0.21,0.99138,5.8,21.0,2076,3.3,1.5,0.57,110.0,white,0.23,6
1343,11.3,0.103,0.01,0.99586,6.3,32.0,139,3.51,3.7,0.66,54.0,red,0.68,6
1344,10.9,0.0279999999999999,0.32,0.993,6.4,15.0,2697,3.13,7.2,0.55,83.0,white,0.22,8
1345,9.5,0.044,0.25,0.9993,6.1,48.0,4595,3.34,17.75,0.48,161.0,white,0.28,5
1346,9.3,0.052,0.26,0.99304,6.4,22.0,4994,3.09,1.1,0.54,176.0,white,0.26,5
1347,10.4,0.049,0.24,0.993,6.1,16.0,4903,3.32,1.6,0.5,137.0,white,0.41,6
1348,9.5,0.0559999999999999,0.27,0.9956,7.1,26.0,177,2.95,8.6,0.52,111.0,white,0.21,5
1349,11.9,0.034,0.27,0.99088,7.9,25.0,3822,2.97,1.7,0.51,122.0,white,0.27,6
1350,11.3,0.025,0.29,0.99159,6.7,37.0,4358,3.31,2.8,0.63,107.0,white,0.3,7
1351,9.4,0.044,0.24,0.9961,5.8,55.0,823,3.31,9.2,0.38,152.0,white,0.26,5
1352,9.9,0.042,0.37,0.9979,7.3,36.0,2101,3.48,9.7,0.75,130.0,white,0.27,6
1353,11.9,0.025,0.37,0.99306,8.3,38.0,528,2.93,7.9,0.37,107.0,white,0.16,6
1354,13.4,0.02,0.36,0.99146,6.7,20.0,4306,3.19,8.55,0.22,86.0,white,0.21,7
1355,11.4,0.043,0.28,0.99033,5.9,45.0,957,3.4,1.0,0.41,100.0,white,0.2,6
1356,9.4,0.052,0.22,0.99576,6.7,24.0,5136,3.22,8.8,0.45,113.0,white,0.4,5
1357,11.0,0.031,0.18,0.9908,5.8,40.0,4303,3.42,1.2,0.4,114.0,white,0.26,7
1358,9.8,0.0279999999999999,0.29,0.99215,5.3,11.0,3073,3.3,0.7,0.4,66.0,white,0.21,5
1359,10.8,0.035,0.36,0.9917,6.8,30.0,4993,3.15,1.9,0.54,96.0,white,0.19,7
1360,9.6,0.045,0.4,0.9977,7.2,66.0,52,3.08,13.6,0.59,231.0,white,0.29,6
1361,9.4,0.081,0.22,0.99705,6.9,76.0,2848,3.4,5.95,0.57,303.0,white,0.4,5
1362,12.2,0.031,0.31,0.99235,7.0,38.0,2222,3.38,6.4,0.58,115.0,white,0.32,7
1363,10.5,0.092,0.35,0.99798,10.5,24.0,1806,3.21,3.3,0.69,70.0,red,0.43,6
1364,12.4,0.024,0.28,0.98984,8.9,29.0,4921,3.01,0.8,0.35,128.0,white,0.27,6
1365,12.2,0.065,0.44,0.99674,10.0,4.0,463,3.33,2.9,0.62,8.0,red,0.46,6
1366,11.2,0.0409999999999999,0.32,0.99296,6.9,20.0,2001,3.17,5.8,0.55,119.0,white,0.22,6
1367,8.0,0.033,0.21,0.99332,4.5,89.0,5077,3.34,0.95,0.42,159.0,white,0.19,5
1368,10.5,0.059,0.28,0.99665,6.1,54.0,4720,3.2,16.55,0.38,135.0,white,0.22,5
1369,12.8,0.048,0.28,0.99374,6.3,13.0,2835,3.41,2.1,0.6,49.0,red,0.57,5
1370,11.0,0.074,0.46,0.99534,7.2,24.0,1256,3.4,2.1,0.85,44.0,red,0.36,7
1371,9.7,0.048,0.27,0.99606,6.6,28.0,2178,2.87,11.8,0.49,112.0,white,0.26,6
1372,10.6,0.062,0.46,0.9959,9.9,26.0,4173,3.18,1.7,0.83,42.0,red,0.25,6
1373,9.7,0.045,0.07,0.9944,5.4,36.0,1743,3.34,7.0,0.57,147.0,white,0.59,6
1374,10.2,0.03,0.24,0.99636,7.0,42.0,3053,3.47,9.0,0.46,219.0,white,0.24,6
1375,9.8,0.039,0.26,0.9942,7.9,8.0,3816,3.05,2.1,0.74,143.0,white,0.19,5
1376,11.5,0.034,0.49,0.9937,9.0,26.0,5358,2.99,6.9,0.34,91.0,white,0.31,5
1377,11.4,0.045,0.34,0.9913,7.2,3.0,3534,3.23,1.1,0.51,64.0,white,0.24,5
1378,10.2,0.1,0.22,0.9967,8.6,7.0,240,3.2,2.0,0.56,27.0,red,0.53,6
1379,9.9,0.077,0.21,0.9956,7.7,32.0,760,3.27,2.2,0.45,133.0,red,0.64,5
1380,12.6,0.035,0.33,0.99,6.9,47.0,4750,3.26,1.7,0.4,136.0,white,0.24,7
1381,11.5,0.039,0.28,0.99355,7.0,32.0,5130,3.05,10.6,0.55,117.0,white,0.22,7
1382,9.3,0.1369999999999999,0.31,0.9951,6.6,35.0,4777,3.2,5.3,0.38,163.0,white,0.27,5
1383,11.4,0.034,0.26,0.9945,8.5,73.0,123,3.05,9.25,0.37,142.0,white,0.21,6
1384,10.0,0.048,0.3,0.9956,6.7,40.0,821,3.29,6.4,0.52,251.0,white,0.18,5
1385,11.3,0.064,0.0,0.99562,7.4,7.0,4099,3.45,2.0,0.58,11.0,red,0.58,6
1386,11.0,0.05,0.42,0.992,7.2,35.0,977,2.94,1.6,0.46,135.0,white,0.27,6
1387,10.1,0.046,0.18,0.994,7.0,9.0,3340,3.38,1.3,0.47,62.0,white,0.24,4
1388,11.0,0.047,0.26,0.99158,6.2,42.0,79,3.48,1.1,0.6,119.0,white,0.2,7
1389,10.0,0.088,0.49,0.9982,9.8,15.0,3372,3.42,2.7,0.9,33.0,red,0.25,6
1390,13.5,0.032,0.34,0.99012,6.3,36.0,4762,3.27,5.0,0.36,93.0,white,0.22,7
1391,9.6,0.05,0.26,0.99514,6.4,53.0,5162,3.14,7.9,0.5,180.0,white,0.32,5
1392,11.2,0.026,0.26,0.9932,7.9,40.0,1803,3.04,2.0,0.39,190.0,white,0.255,6
1393,10.0,0.046,0.45,0.99224,5.5,22.0,1763,3.22,1.7,0.48,113.0,white,0.24,5
1394,9.9,0.053,0.29,0.99362,6.9,24.0,714,3.29,1.3,0.54,189.0,white,0.3,4
1395,11.8,0.057,0.27,0.99257,7.1,60.0,3619,3.16,8.4,0.36,160.0,white,0.44,6
1396,11.6,0.03,0.22,0.993,6.9,10.0,2343,3.0,4.3,0.87,102.0,white,0.39,4
1397,9.3,0.076,0.15,0.9957,6.6,22.0,3107,3.32,2.1,0.62,53.0,red,0.44,5
1398,10.1,0.045,0.32,0.99543,8.0,61.0,1999,3.1,7.6,0.55,204.0,white,0.28,6
1399,10.55,0.065,0.17,0.99514,7.0,15.0,2395,3.44,1.7,0.68,24.0,red,0.56,7
1400,12.4,0.033,0.49,0.9931,7.7,42.0,1938,3.14,8.65,0.38,186.0,white,0.35,8
1401,10.1,0.0279999999999999,0.33,0.9928,6.5,14.0,4664,3.23,1.4,0.55,99.0,white,0.17,6
1402,11.8,0.02,0.38,0.98941,6.0,22.0,2834,3.26,0.8,0.32,98.0,white,0.21,6
1403,11.5,0.035,0.34,0.9928,7.0,32.0,2740,3.19,5.7,0.46,83.0,white,0.2,6
1404,9.2,0.043,0.03,0.9932,5.3,27.0,989,3.34,2.7,0.38,93.0,white,0.76,5
1405,10.4,0.0289999999999999,0.23,0.9931,7.6,13.0,5133,3.04,2.0,0.33,151.0,white,0.54,5
1406,11.5,0.027,0.31,0.99165,6.5,15.0,433,3.26,5.0,0.6,72.0,white,0.46,7
1407,11.3,0.026,0.33,0.99014,6.0,31.0,4084,3.13,2.5,0.5,85.0,white,0.24,7
1408,10.4,0.052,0.29,0.99546,6.8,54.0,910,3.03,11.9,0.58,160.0,white,0.26,6
1409,9.5,0.05,0.3,0.99612,7.9,58.0,4561,3.12,7.4,0.37,152.0,white,0.16,6
1410,9.2,0.048,0.37,0.9995,7.4,43.0,3518,3.03,16.95,0.42,190.0,white,0.2,6
1411,10.2,0.04,0.26,0.99366,6.5,18.0,2918,3.17,7.0,0.38,113.0,white,0.29,6
1412,11.4,0.075,0.49,0.9994,12.7,5.0,2836,3.14,2.8,0.57,19.0,red,0.6,5
1413,9.2,0.046,0.49,0.9956,6.4,53.0,1557,3.24,7.3,0.43,206.0,white,0.27,6
1414,12.3,0.037,0.34,0.98948,5.9,40.0,4372,3.19,2.0,0.5,108.0,white,0.24,6
1415,9.2,0.095,0.18,0.99773,6.2,28.0,1060,3.53,7.4,0.71,195.0,white,0.38,4
1416,10.6,0.035,0.07,0.992,5.3,26.0,3445,3.5,1.3,0.35,102.0,white,0.395,6
1417,9.4,0.051,0.22,0.99676,6.6,35.0,5418,3.1,12.3,0.67,146.0,white,0.24,5
1418,10.0,0.053,0.28,0.9964,5.9,40.0,4320,3.72,4.6,0.7,199.0,white,0.21,4
1419,9.3,0.263,0.37,0.9971,8.9,5.0,4818,3.0,1.7,1.09,62.0,red,0.635,5
1420,9.1,0.07,0.21,0.9971,7.2,33.0,918,3.0,9.5,0.55,172.0,white,0.685,6
1421,9.9,0.08,0.21,0.9962,7.9,33.0,4175,3.25,2.1,0.51,141.0,red,0.69,5
1422,10.8,0.052,0.25,0.9935,6.8,22.0,2088,3.09,6.2,0.54,106.0,white,0.2,5
1423,9.1,0.104,0.25,0.99784,7.6,28.0,2688,3.15,3.9,0.57,90.0,red,0.42,5
1424,9.2,0.04,0.18,0.99736,6.4,21.0,3898,3.14,15.0,0.5,116.0,white,0.29,5
1425,12.0,0.036,0.35,0.9924,7.6,12.0,2028,3.16,6.3,0.39,126.0,white,0.33,7
1426,8.8,0.038,0.36,0.99924,6.5,43.0,1936,3.26,16.3,0.41,133.0,white,0.23,5
